match_id,team,minute,player_number,player_name,outcome,body_part,delivery_type
82,Belgium,124,8,Youri TIELEMANS,On Target - Goal,Right Foot,Penalty
82,Senegal,12,18,Ismaila SARR,Off Target,Right Foot,Loose Ball
82,Senegal,12,18,Ismaila SARR,Off Target,Right Foot,Other
82,Senegal,16,5,Idrissa Gana GUEYE,On Target - Saved,Right Foot,Loose Ball
82,Senegal,24,18,Ismaila SARR,Off Target,Head,Cross
82,Senegal,24,21,Habib DIARRA,On Target - Goal,Right Foot,Other
82,Senegal,36,10,Sadio MANE,On Target - Saved,Right Foot,Pass
82,Senegal,45,26,Pape GUEYE,Off Target,Left Foot,Loose Ball
82,Senegal,45,26,Pape GUEYE,Incomplete - Blocked,Right Foot,Pass
82,Senegal,45,13,Iliman NDIAYE,Off Target,Left Foot,Loose Ball
82,Senegal,50,21,Habib DIARRA,Off Target,Left Foot,Cross
82,Senegal,50,18,Ismaila SARR,On Target - Goal,Right Foot,Pass
82,Senegal,87,20,Ibrahim MBAYE,Off Target,Right Foot,Pass
82,Senegal,95,5,Idrissa Gana GUEYE,Off Target,Right Foot,Pass
82,Senegal,108,20,Ibrahim MBAYE,Off Target,Left Foot,Cross
82,Senegal,112,22,Bara Sapoko NDIAYE,On Target - Saved,Left Foot,Pass
82,Senegal,126,17,Pape Matar SARR,Off Target,Left Foot,Pass
82,Senegal,130,6,Pathe CISS,Incomplete - Blocked,Right Foot,Pass
82,Senegal,130,18,Ismaila SARR,Incomplete - Blocked,Right Foot,Loose Ball
82,Senegal,131,17,Pape Matar SARR,Off Target,Right Foot,Freekick
83,Portugal,3,8,BRUNO FERNANDES,On Target - Saved,Right Foot,Cross
83,Portugal,3,8,BRUNO FERNANDES,Deflected Off Target - Defensive Event,Right Foot,Other
83,Portugal,3,23,VITINHA,Incomplete - Blocked,Right Foot,Loose Ball
83,Portugal,6,20,JOAO CANCELO,Off Target,Right Foot,Loose Ball
83,Portugal,12,7,CRISTIANO RONALDO,Incomplete - Blocked,Right Foot,Freekick
83,Portugal,15,13,RENATO VEIGA,Off Target,Head,Corner
83,Portugal,23,15,JOAO NEVES,Off Target,Left Foot,Corner
83,Portugal,33,25,NUNO MENDES,Deflected Off Target - Defensive Event,Right Foot,Ball Progression
83,Portugal,45,17,RAFAEL LEAO,Off Target,Lower Body,Loose Ball
83,Portugal,57,17,RAFAEL LEAO,Off Target,Right Foot,Pass
83,Portugal,67,7,CRISTIANO RONALDO,On Target - Goal,Right Foot,Penalty
83,Portugal,86,13,RENATO VEIGA,Off Target,Head,Corner
83,Portugal,90,9,GONCALO RAMOS,Off Target,Head,Corner
83,Portugal,93,9,GONCALO RAMOS,On Target - Goal,Head,Cross
83,Portugal,101,26,FRANCISCO CONCEICAO,Incomplete - Player On Ball Error,Left Foot,Pass
83,Croatia,2,11,Ante BUDIMIR,Off Target - Saved,Left Foot,Pass
83,Croatia,9,11,Ante BUDIMIR,Off Target,Head,Cross
83,Croatia,27,16,Martin BATURINA,Incomplete - Blocked,Left Foot,Pass
83,Croatia,47,8,Mateo KOVACIC,On Target - Saved,Left Foot,Ball Progression
83,Croatia,48,13,Nikola VLASIC,Off Target,Right Foot,Loose Ball
83,Croatia,52,14,Ivan PERISIC,On Target - Goal,Left Foot,Loose Ball
83,Croatia,58,17,Petar SUCIC,On Target - Saved,Right Foot,Pass
83,Croatia,74,8,Mateo KOVACIC,On Target - Saved,Right Foot,Ball Progression
83,Croatia,74,8,Mateo KOVACIC,On Target - Saved,Right Foot,Pass
83,Croatia,75,20,Igor MATANOVIC,Off Target,Head,Corner
83,Croatia,76,20,Igor MATANOVIC,On Target - Saved,Right Foot,Ball Progression
83,Croatia,88,15,Mario PASALIC,Off Target,Head,Cross
83,Croatia,98,20,Igor MATANOVIC,Incomplete - Blocked,Head,Corner
84,Spain,1,19,Lamine YAMAL,On Target - Saved,Left Foot,Pass
84,Spain,7,10,Dani OLMO,Incomplete,Right Foot,Cross
84,Spain,7,14,Aymeric LAPORTE,Off Target,Head,Corner
84,Spain,31,19,Lamine YAMAL,Off Target - Saved,Left Foot,Ball Progression
84,Spain,32,21,Mikel OYARZABAL,On Target - Saved,Left Foot,Ball Progression
84,Spain,35,21,Mikel OYARZABAL,On Target - Goal,Left Foot,Cross
84,Spain,37,19,Lamine YAMAL,On Target - Saved,Right Foot,Ball Progression
84,Spain,38,21,Mikel OYARZABAL,Incomplete - Blocked,Left Foot,Pass
84,Spain,41,14,Aymeric LAPORTE,Off Target,Left Foot,Pass
84,Spain,46,15,Alex BAENA,On Target - Saved,Right Foot,Freekick
84,Spain,46,19,Lamine YAMAL,On Target - Saved,Left Foot,Loose Ball
84,Spain,48,21,Mikel OYARZABAL,On Target - Saved,Left Foot,Ball Progression
84,Spain,51,21,Mikel OYARZABAL,Off Target,Head,Corner
84,Spain,53,16,RODRI,Deflected Off Target - Defensive Event,Right Foot,Pass
84,Spain,57,15,Alex BAENA,Incomplete - Blocked,Right Foot,Pass
84,Spain,58,19,Lamine YAMAL,Incomplete - Blocked,Left Foot,Pass
84,Spain,61,10,Dani OLMO,Incomplete - Blocked,Right Foot,Pass
84,Spain,65,10,Dani OLMO,Incomplete - Blocked,Right Foot,Pass
84,Spain,65,12,Pedro PORRO,On Target - Goal,Head,Cross
84,Spain,77,7,Ferran TORRES,Off Target,Head,Corner
84,Spain,84,19,Lamine YAMAL,On Target - Goal Prevented,Left Foot,Loose Ball
84,Spain,88,21,Mikel OYARZABAL,On Target - Goal,Right Foot,Cross
84,Spain,94,7,Ferran TORRES,Off Target,Right Foot,Pass
84,Austria,34,8,David ALABA,Off Target,Left Foot,Loose Ball
84,Austria,44,6,Nicolas SEIWALD,Incomplete - Blocked,Left Foot,Cross
84,Austria,60,14,Sasa KALAJDZIC,Off Target,Head,Cross
84,Austria,78,17,Carney CHUKWUEMEKA,Off Target,Right Foot,Pass
84,Austria,81,5,Stefan POSCH,Off Target,Head,Cross
85,Switzerland,10,7,Breel EMBOLO,On Target - Goal,Left Foot,Cross
85,Switzerland,15,6,Denis ZAKARIA,On Target - Saved,Right Foot,Pass
85,Switzerland,24,13,Ricardo RODRIGUEZ,Off Target,Left Foot,Pass
85,Switzerland,36,6,Denis ZAKARIA,Off Target,Head,Freekick
85,Switzerland,45,11,Dan NDOYE,On Target - Goal,Right Foot,Loose Ball
85,Switzerland,64,4,Nico ELVEDI,Incomplete - Blocked,Head,Corner
85,Switzerland,74,22,Fabian RIEDER,On Target - Goal Prevented,Left Foot,Loose Ball
85,Switzerland,79,7,Breel EMBOLO,Off Target,Right Foot,Pass
85,Switzerland,80,22,Fabian RIEDER,Off Target - Saved,Left Foot,Cross
85,Switzerland,95,19,Noah OKAFOR,Incomplete - Blocked,Right Foot,Pass
85,Switzerland,95,8,Remo FREULER,On Target - Saved,Right Foot,Loose Ball
85,Algeria,5,8,Houssem AOUAR,Incomplete - Player On Ball Error,Right Foot,Cross
85,Algeria,13,8,Houssem AOUAR,On Target - Saved,Right Foot,Pass
85,Algeria,17,22,Ibrahim MAZA,Incomplete - Blocked,Right Foot,Pass
85,Algeria,42,10,Fares CHAIBI,On Target - Saved,Right Foot,Pass
85,Algeria,46,22,Ibrahim MAZA,Off Target,Left Foot,Other
85,Algeria,49,7,Riyad MAHREZ,Incomplete - Blocked,Left Foot,Cross
85,Algeria,76,13,Jaouen HADJAM,Off Target,Right Foot,Ball Progression
85,Algeria,92,22,Ibrahim MAZA,Incomplete - Blocked,Right Foot,Pass
86,Argentina,14,10,Lionel MESSI,Off Target,Left Foot,Pass
86,Argentina,17,10,Lionel MESSI,On Target - Saved,Left Foot,Freekick
86,Argentina,28,10,Lionel MESSI,On Target - Goal,Left Foot,Pass
86,Argentina,44,24,Enzo FERNANDEZ,On Target - Saved,Right Foot,Loose Ball
86,Argentina,62,10,Lionel MESSI,On Target - Saved,Right Foot,Ball Progression
86,Argentina,66,24,Enzo FERNANDEZ,Off Target,Right Foot,Pass
86,Argentina,68,10,Lionel MESSI,On Target - Saved,Right Foot,Freekick
86,Argentina,72,10,Lionel MESSI,On Target - Saved,Left Foot,Freekick
86,Argentina,72,15,Nico GONZALEZ,Off Target,Head,Corner
86,Argentina,83,15,Nico GONZALEZ,Incomplete - Player On Ball Error,Head,Corner
